"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2"
2010-03-30;0;13.82;37.84;2542.45839;2247.19935;0.159;0.433;0.43;NA;NA;NA;NA;0.0602864937241236;3.74845860171768;1;3;13;1;0;8.13353849439274;1.30672163452375e-05;341.895703999334;343.154045699915;341.895703999334;343.154045699915;341.895703999334;343.154047447774;0.00202579611461488;0.00020833601903987;3.12832818403434;4.86864306742001;8.06893562682208;2553.20874260042;2256.70125;"2010-03";2010;"03";3.584386;13.82;37.84;NA;NA;NA;343.154045699915;2542.45839;2247.19935;NA;NA;380.854893571295;-37.7008478713803
2010-04-06;0;13.94;37.72;2544.75885;2246.09913;0.113;0.131;0.54;NA;NA;NA;NA;0.0573760259455188;2.56344414224386;2;4;14;1;0;8.13846105615937;1.2871649648544e-05;337.796985186502;339.038331133868;337.796985186502;339.038331133868;337.796985186502;339.038332835722;0.00202243362874048;0.00021079385161096;3.168488107944;4.9302826795481;8.07568401581582;2563.64889448568;2262.77218822906;"2010-04";2010;"04";3.387762;13.94;37.72;NA;393.294;NA;339.038331133868;2544.75885;2246.09913;393.294;381.220320098721;381.220320098721;-42.1819889648527
2010-04-13;0;13.86;37.74;2538.90768;2252.60043;0.179;NA;0.5;NA;NA;NA;NA;0.00777955303794067;1.90501805016572;2;4;15;1;0;8.11973922543573;1.35549354139017e-05;354.893936706205;356.199469383006;354.893936706205;356.199469383006;354.893936706205;356.199471264693;0.0020363009263827;0.00020274456820338;3.04661202380727;4.74136575588434;8.05585382548027;2556.39882988871;2268.11913990461;"2010-04";2010;"04";4.1950884;13.86;37.74;NA;NA;NA;356.199469383006;2538.90768;2252.60043;NA;NA;381.355052956313;-25.1555835733066
2010-04-20;0;14.78;37.79;2541.85827;2240.74806;NA;NA;0.42;NA;NA;NA;NA;NA;NA;2;4;16;1;0;8.12924262021747;1.28364345001808e-05;345.759225934875;347.016305621013;345.759225934875;347.016305621013;345.759225934875;347.016307372514;0.00201519973168712;0.00021271189381269;3.2014335871927;4.97247410037462;8.07952818681478;2555.98344165123;2253.19995448531;"2010-04";2010;"04";3.8784223;14.78;37.79;NA;393.572;NA;347.016305621013;2541.85827;2240.74806;393.572;381.489785813904;381.489785813904;-34.4734801928914
2010-04-27;0;15.16;37.78;2541.0081;2232.49641;0.013;NA;0.13;NA;NA;NA;NA;0.0593338332026764;2.00081467045746;2;4;17;1;0;8.13543274296335;1.24643801363928e-05;339.593732475852;340.822435146973;339.593732475852;340.822435146973;339.593732475852;340.822436823;0.00200251812569571;0.00021751390416789;3.27666529036407;5.08514923729721;8.09156386671318;2555.80486500794;2245.49665378507;"2010-04";2010;"04";4.196347;15.16;37.78;NA;392.299;NA;340.822435146973;2541.0081;2232.49641;392.299;380.255865470635;380.255865470635;-39.4334303236622
2010-05-04;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-05";2010;"05";11.247633;15.775;37.74;NA;392.418;392.188;352.02668148181;2540.633025;2233.821675;392.188;380.148273044789;380.148273044789;-28.121591562978
2010-05-11;0;16.39;37.7;2540.25795;2235.14694;NA;NA;0.35;NA;NA;NA;NA;NA;NA;2;5;19;1;0;8.11214960699867;1.28126510742265e-05;361.941592540227;363.230927816648;361.941592540227;363.230927816648;361.941592540227;363.230929671571;0.00200621079410029;0.00021612349482547;3.26698672004964;5.05636698620802;8.08735282365761;2560.47220424403;2252.93325517241;"2010-05";2010;"05";3.2553124;16.39;37.7;NA;393.074;392.338;363.230927816648;2540.25795;2235.14694;392.338;380.293668214852;380.293668214852;-17.0627403982037
2010-05-18;0;16.66;37.63;2539.40778;2218.79367;0.049;NA;0.24;NA;NA;NA;NA;0.0671456746584814;2.73740264948273;2;5;20;1;0;8.13350773272333;1.19744080073977e-05;340.823900167596;342.033845356079;340.823900167596;342.033845356079;340.823900167596;342.033846991495;0.00198070839020318;0.00022611087178942;3.42193059598228;5.29310627071104;8.11282522835846;2564.37671113473;2240.61013712463;"2010-05";2010;"05";1.5034965;16.66;37.63;NA;392.762;392.508;342.033845356079;2539.40778;2218.79367;392.508;380.45844940759;380.45844940759;-38.4246040515109
2010-05-25;0;18.06;37.49;2545.45899;2230.84608;NA;NA;0.3;NA;NA;NA;NA;NA;NA;2;5;21;1;0;8.10351265680171;1.25343687104401e-05;371.229818174533;372.524725677287;371.229818174533;372.524725677287;371.229818174533;372.524727561012;0.00199484967415922;0.00022346203713033;3.39796772148751;5.23895300588938;8.10442952770301;2580.08646625767;2261.19367938117;"2010-05";2010;"05";1.4625729;18.06;37.49;NA;NA;NA;372.524725677287;2545.45899;2230.84608;NA;NA;379.176064007633;-6.65133833034605
2010-06-01;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;6;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-06";2010;"06";3.1354578;19.765;37.475;NA;389.862;NA;388.708976172623;2544.433785;2223.64464;389.862;377.893678607676;377.893678607676;10.8152975649472
