"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2";"Tmean";"pCO2_w_mean";"NpCO2";"TpCO2";"delta_pCO2_T";"delta_pCO2_bio";"Flux_CO2_2014";"SC";"K600";"k";"rho";"K0";"Flux_wan_92";"K600_M3";"Flux_HO"
2007-03-13;0;NA;NA;NA;NA;0.007;0.271;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;"03";NA;14.2889218186235;38.0475;NA;NA;384.261;350.84988401681;2555.4984975;2257.92743596745;384.261;372.464622957519;372.464622957519;-21.6147389407087;18.8369699466636;411.319858003375;425.277070431279;339.335305164577;-74.4271864144685;11.5145788522336;NA;892.696848323683;NA;NA;1.02848181445537;3.87016609827393e-08;NA;NA;NA
2007-03-20;0;14.24;38.03;2555.21094;2255.20095;NA;NA;0.41;NA;NA;NA;NA;NA;NA;1;3;12;1;0;8.131240810777;1.30180209120804e-05;345.397952930986;346.662389859002;345.397952930986;346.662389859002;345.397952930986;346.662391627001;0.00203023817695968;0.00021194475212823;3.1811438368182;4.94596991568629;8.07315304766629;2553.19525953195;2253.42193268472;"2007-03";2007;"03";NA;14.24;38.03;NA;389.376;NA;346.662389859002;2555.21094;2255.20095;389.376;377.422598256672;377.422598256672;-30.7602083976697;18.8369699466636;411.319858003375;421.07172830436;338.633813165554;-74.4093384453582;8.02857669344837;NA;895.070067615744;NA;NA;1.02847896913426;3.87632891689428e-08;NA;NA;NA
2007-03-27;0;NA;NA;NA;NA;NA;NA;0.653;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;"03";NA;14.1060599811619;38.055;NA;NA;391.387;345.892310716186;2554.56081;2257.84123133578;391.387;379.371862836651;379.371862836651;-33.4795521204651;18.8369699466636;411.319858003375;422.523462351531;336.720652946542;-76.6311516353442;9.17165776964396;NA;901.611275941369;NA;NA;1.02852748504364;3.89189580313227e-08;NA;NA;NA
2007-04-03;0;14.1;38.08;2553.91068;2253.15054;NA;NA;0.666;NA;NA;NA;NA;NA;NA;2;4;14;1;0;8.13423971580045;1.2952788153853e-05;342.293254077981;343.548561799796;342.293254077981;343.548561799796;342.293254077981;343.548563541325;0.00202794659039653;0.00021225116144961;3.18377029847518;4.95137920047212;8.07396760063862;2548.54532142857;2248.41703046218;"2007-04";2007;"04";NA;14.1;38.08;NA;NA;387.824;343.548561799796;2553.91068;2253.15054;387.824;375.918242897085;375.918242897085;-32.3696810972892;18.8369699466636;411.319858003375;419.76805298099;336.634349977928;-76.2194911811944;6.91421182186849;NA;901.908747601;NA;NA;1.02854815156139;3.89214983190311e-08;NA;NA;NA
2007-04-10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-04";2007;"04";NA;15.1320212888297;38.045;NA;387.373;NA;348.997180095149;2547.984495;2241.98929143648;387.373;375.481088085762;375.481088085762;-26.4839079906128;18.8369699466636;411.319858003375;408.210580707179;351.655438013468;-59.2134006120298;-2.6582579183189;NA;853.106769719343;NA;NA;1.02829215422626;3.77181277163038e-08;NA;NA;NA
2007-04-17;0;15.77;38.01;2542.05831;2236.29717;0.454;NA;0.384;NA;NA;NA;NA;0.153678727551645;14.2901763619543;2;4;16;1;0;8.1178971258543;1.28110859650588e-05;355.927451771848;357.205344217027;355.927451771848;357.205344217027;355.927451771848;357.205346034513;0.00200799372655675;0.00021549235747818;3.24563350358774;5.02948521511627;8.08351230912591;2541.38952328335;2235.70882557222;"2007-04";2007;"04";NA;15.77;38.01;NA;387.525;NA;357.205344217027;2542.05831;2236.29717;387.525;375.628421858093;375.628421858093;-18.4230776410657;18.8369699466636;411.319858003375;406.686915099588;361.274597254785;-49.4815708825607;-4.06925303775773;NA;824.730928360773;NA;NA;1.0281188718647;3.70056290521834e-08;NA;NA;NA
2007-04-24;0;18.04;37.87;2537.75745;2228.34558;0.097;0.628;0.602;NA;NA;NA;NA;0;1.57183414778502;2;4;17;1;0;8.0920158399724;1.28520890224158e-05;381.215781779178;382.545870677657;381.215781779178;382.545870677657;381.215781779178;382.545872664929;0.00199610860199057;0.00021938488898701;3.32685868668865;5.12825127462597;8.09262418070586;2546.46905466068;2235.99503670452;"2007-04";2007;"04";NA;18.04;37.87;NA;NA;NA;382.545870677657;2537.75745;2228.34558;NA;NA;375.799905046966;6.74596563069144;18.8369699466636;411.319858003375;395.662034315084;397.684638808705;-13.116163637427;-15.1387681310477;NA;733.749848552384;NA;NA;1.02746209088014;3.46392644016982e-08;NA;NA;NA
2007-05-02;0;18.4;37.72;2530.30596;2216.14314;0;0.407;0.506;NA;NA;NA;NA;0.0885855138813534;1.50108640005546;2;5;18;1;0;8.09674613122568;1.2530220462052e-05;375.191885004282;376.495049227155;375.191885004282;376.495049227155;375.191885004282;376.495051137564;0.00198118220342936;0.00022243071610858;3.38012560303314;5.20621534726622;8.10288438357456;2549.08871898197;2232.59383138918;"2007-05";2007;"05";NA;18.4;37.72;NA;388.239;NA;376.495049227155;2530.30596;2216.14314;388.239;376.320502867593;376.320502867593;0.174546359561759;18.8369699466636;411.319858003375;383.518832470336;403.786925376253;-7.0237832431809;-27.2918761490981;NA;720.619322624;NA;NA;1.02725599268838;3.43070961121736e-08;NA;NA;NA
2007-05-09;0;18.82;37.33;2498.09952;2190.38799;NA;NA;0.589;NA;NA;NA;NA;NA;NA;2;5;19;1;0;8.08922013958749;1.25298947899184e-05;378.86015622815;380.169163911941;378.86015622815;380.169163911941;378.86015622815;380.169165842733;0.00195997495223627;0.0002178831429738;3.32425679105788;5.11622993363844;8.10179262024968;2542.93548781141;2229.70114170908;"2007-05";2007;"05";NA;18.82;37.33;NA;387.059;NA;380.169163911941;2498.09952;2190.38799;387.059;375.176727529763;375.176727529763;4.99243638217769;18.8369699466636;411.319858003375;380.442158235195;411.024706733082;-0.272994323253613;-30.8555428211407;NA;705.706376304008;NA;NA;1.0268497636614;3.39606033841727e-08;NA;NA;NA
2007-05-15;0;20;37.57;2510.95209;2197.03932;0.117;2.678;0.41;NA;NA;NA;NA;0.0973971970224656;6.1662165434923;2;5;20;1;0;8.07608230995251;1.25829833137633e-05;393.709890697031;395.050341179325;393.709890697031;395.050341179325;393.709890697031;395.050343213332;0.00196207561006215;0.00022238072662408;3.39966077352491;5.21540519053643;8.10671066592607;2539.69069523556;2222.185098749;"2007-05";2007;"05";NA;20;37.57;NA;NA;NA;395.050341179325;2510.95209;2197.03932;NA;NA;374.580653684267;20.4696874950581;18.8369699466636;411.319858003375;376.085695711613;432.061235220883;18.9646454677115;-37.0108940415583;NA;665.988;NA;NA;1.0267235922296;3.28141256649654e-08;NA;NA;NA
2007-05-22;0;20.45;37.47;2510.75205;2190.53802;0;0.199;0.378;NA;NA;NA;NA;0.027276463728539;1.7534869539775;2;5;21;1;0;8.08081129156404;1.22691368927296e-05;388.456520334742;389.771694880808;388.456520334742;389.771694880808;388.456520334742;389.771696842271;0.00195136666943179;0.00022690221367547;3.47644727198754;5.32723460554698;8.11834343222538;2546.26575660528;2221.52241152922;"2007-05";2007;"05";NA;20.45;37.47;NA;386.259;NA;389.771694880808;2510.75205;2190.53802;386.259;374.40128662276;374.40128662276;15.370408258048;18.8369699466636;411.319858003375;364.064117358446;440.364294496681;25.707577522362;-50.592599615873;NA;651.623079818625;NA;NA;1.02652602913126;3.24221314769244e-08;NA;NA;NA
2007-05-30;0;17.1;37.82;2529.35577;2218.14354;0;0.315;0.256;NA;NA;NA;NA;0.0953626169171522;1.51217863968627;2;5;22;1;0;8.11092205772194;1.25056008905839e-05;360.9229773306;362.197211731745;360.9229773306;362.197211731745;360.9229773306;362.197213548765;0.00198589113795032;0.00021974680115909;3.32503353509225;5.13726323661014;8.09706554351241;2541.39395187731;2228.70054257007;"2007-05";2007;"05";NA;17.1;37.82;NA;NA;386.113;362.197211731745;2529.35577;2218.14354;386.113;374.259768657232;374.259768657232;-12.0625569254868;18.8369699466636;411.319858003375;389.811261073311;382.182149608812;-27.6140493415658;-19.9849378770674;NA;769.640396791;NA;NA;1.02765636229487;3.56072101991921e-08;NA;NA;NA
2007-06-05;0;20.23;37.71;2517.90348;2202.24036;0;0.208;0.218;NA;NA;NA;NA;0;1.6274356043041;2;6;23;1;0;8.07317771413712;1.2617196892611e-05;397.58872027329;398.938513960012;397.58872027329;398.938513960012;397.58872027329;398.938516024298;0.00196572152681839;0.00022390163628899;3.42197848794719;5.24592383647126;8.10731522672033;2537.26683214002;2219.17617820207;"2007-06";2007;"06";NA;20.23;37.71;NA;NA;387.044;398.938513960012;2517.90348;2202.24036;387.044;375.162188012757;375.162188012757;23.776325947255;18.8369699466636;411.319858003375;376.110180386975;436.285273494268;22.828333573037;-37.3467595342556;NA;658.595073088427;NA;NA;1.0267687370122;3.25837798143658e-08;NA;NA;NA
2007-06-12;0;21.49;37.56;2512.85247;2196.28917;0.043;0.469;0.275;NA;NA;NA;NA;0.0136411266567502;1.21698337102007;2;6;24;1;0;8.05794115399381;1.26925565055147e-05;413.551797763118;414.934035035868;413.551797763118;414.934035035868;413.551797763118;414.93403721099;0.00195854215860858;0.00022505445488589;3.45823336595351;5.28398145615561;8.11126573860357;2542.28950638978;2222.0177971246;"2007-06";2007;"06";NA;21.49;37.56;NA;NA;386.853;414.934035035868;2512.85247;2196.28917;386.853;374.97705149621;374.97705149621;39.9569835396581;18.8369699466636;411.319858003375;370.88661079769;460.169236103316;44.0474242381777;-45.2352010674475;NA;619.897226398169;NA;NA;1.02630818936588;3.14990159783091e-08;NA;NA;NA
2007-06-19;0;21.69;37.61;2519.75385;2199.13974;NA;NA;0.154;NA;NA;NA;NA;NA;NA;2;6;25;1;0;8.05984727051779;1.25807388214663e-05;412.221145235765;413.595528958116;412.221145235765;413.595528958116;412.221145235765;413.595531110226;0.00195857386375761;0.00022798513742092;3.50445707360907;5.35143430576928;8.11624051490465;2545.88264557299;2221.94390109014;"2007-06";2007;"06";NA;21.69;37.61;NA;NA;386.994;413.595528958116;2519.75385;2199.13974;386.994;375.113722956069;375.113722956069;38.4818060020467;18.8369699466636;411.319858003375;366.575807548729;464.078781901801;47.0197214093869;-50.483252943685;NA;614.013739347829;NA;NA;1.02629015270751;3.13217517235106e-08;NA;NA;NA
