"datetime";"Hour";"temp_eol_c";"sal_eol_psu";"oxy_eol_mll";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"NB_OBS_DAY"
"2017-10-08";"00:00:00";20.66505;38.19455;5.28192634188685;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"01:00:00";20.614;38.1932;5.27593708535169;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"02:00:00";20.5982;38.1947;5.27944782881653;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"03:00:00";20.5562;38.19665;5.27745857228137;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"04:00:00";20.52915;38.1955;5.28396931574622;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"05:00:00";20.4842;38.1965;5.29048005921106;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"06:00:00";20.4683;38.1968;5.2909908026759;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"07:00:00";20.46985;38.1963;5.29250154614075;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"08:00:00";20.4783;38.19695;5.28051228960559;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"09:00:00";20.4905;38.19945;5.26652303307043;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"10:00:00";20.5032;38.20095;5.26653377653527;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"11:00:00";20.4939;38.2004;5.28504452000012;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"12:00:00";20.49775;38.20575;5.29755526346496;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"13:00:00";20.3933;38.22115;5.3200660069298;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"14:00:00";20.5394;38.2055;5.30357675039464;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"15:00:00";20.5545;38.2036;5.30908749385949;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"16:00:00";20.5477;38.20315;5.30909823732433;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"17:00:00";20.4888;38.20115;5.31360898078917;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"18:00:00";20.3886;38.2003;5.33011972425401;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"19:00:00";20.3327;38.2063;5.34863046771886;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"20:00:00";20.30195;38.21385;5.3456412111837;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"21:00:00";20.2777;38.22075;5.34365195464854;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"23:00:00";20.26175;38.2331;5.32567344157823;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-09";"00:00:00";20.2549;38.23035;5.32618418504307;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"01:00:00";20.24205;38.23175;5.32869492850792;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"02:00:00";20.2383;38.23245;5.32970567197276;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"03:00:00";20.22105;38.23525;5.3237164154376;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"04:00:00";20.19115;38.23985;5.32872715890244;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"05:00:00";20.1723;38.2494;5.31873790236729;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"06:00:00";20.18515;38.2558;5.31224864583213;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"07:00:00";20.1908;38.25735;5.31725938929697;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"08:00:00";20.2056;38.2516;5.32377013276181;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"09:00:00";20.24375;38.2234;5.32128087622666;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"10:00:00";20.30205;38.228;5.3247916196915;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"11:00:00";20.31905;38.24925;5.33080236315634;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"12:00:00";20.32805;38.2514;5.33281310662119;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"13:00:00";20.3332;38.25185;5.33382385008603;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"14:00:00";20.35445;38.2551;5.33333459355087;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"15:00:00";20.3166;38.2554;5.33384533701571;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"16:00:00";20.3263;38.2601;5.33885608048056;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"17:00:00";20.34605;38.2546;5.3573668239454;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"18:00:00";20.32185;38.25375;5.33287756741024;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"19:00:00";20.27025;38.25515;5.32488831087508;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"20:00:00";20.27065;38.25725;5.35789905433993;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"21:00:00";20.26535;38.25685;5.37690979780477;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"22:00:00";20.2483;38.25345;5.36642054126961;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"23:00:00";20.23835;38.25205;5.36193128473446;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-10";"00:00:00";20.211;38.24625;5.3569420281993;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"01:00:00";20.22525;38.24255;5.35045277166414;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"02:00:00";20.20975;38.24495;5.34596351512898;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"03:00:00";20.18445;38.24595;5.33097425859383;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"04:00:00";20.17245;38.2454;5.32748500205867;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"05:00:00";20.1483;38.25;5.32999574552351;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"06:00:00";20.1185;38.2508;5.33700648898836;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"07:00:00";20.1016;38.2505;5.3340172324532;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"08:00:00";20.1148;38.2482;5.32852797591804;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"09:00:00";20.1628;38.2485;5.32453871938288;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"11:00:00";20.2847;38.2469;5.33706020631257;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"12:00:00";20.3532;38.2544;5.32857094977741;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"13:00:00";20.4161;38.24875;5.33008169324225;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"14:00:00";20.3932;38.24915;5.3135924367071;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"15:00:00";20.5559;38.2572;5.30910318017194;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"16:00:00";20.4584;38.25505;5.32511392363678;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"17:00:00";20.4497;38.254;5.30862466710162;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"18:00:00";20.45745;38.2504;5.30763541056647;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"19:00:00";20.41965;38.23605;5.33764615403131;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"20:00:00";20.40275;38.24175;5.34065689749615;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"21:00:00";20.35605;38.24765;5.332167640961;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"22:00:00";20.3166;38.25165;5.31767838442584;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-10";"23:00:00";20.2955;38.25235;5.31568912789068;"2017";"10";"2017-10";"2017-10-10";31;23
"2017-10-11";"00:00:00";20.26765;38.2518;5.32119987135552;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"01:00:00";20.23575;38.25085;5.32521061482037;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"02:00:00";20.2338;38.2492;5.32672135828521;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"03:00:00";20.2201;38.25015;5.32773210175005;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"04:00:00";20.1931;38.2512;5.32974284521489;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"05:00:00";20.1638;38.2512;5.33425358867974;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"06:00:00";20.13775;38.25065;5.33476433214458;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"07:00:00";20.1351;38.24985;5.33827507560942;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"08:00:00";20.1493;38.24955;5.33528581907427;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"09:00:00";20.18505;38.2473;5.28329656253911;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"11:00:00";20.4254;38.2467;5.3003180494688;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"12:00:00";20.377;38.24675;5.25232879293364;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"13:00:00";20.3314;38.24215;5.27583953639848;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"14:00:00";20.35055;38.24645;5.33185027986332;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"15:00:00";20.37525;38.25005;5.34036102332817;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"16:00:00";20.47765;38.25175;5.33187176679301;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"17:00:00";20.4686;38.2566;5.34188251025785;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"18:00:00";20.4402;38.25745;5.34239325372269;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"19:00:00";20.4157;38.2575;5.33590399718754;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"20:00:00";20.4246;38.25565;5.33141474065238;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"21:00:00";20.4116;38.25575;5.32842548411722;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"22:00:00";20.3984;38.25605;5.33093622758206;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-11";"23:00:00";20.3883;38.25695;5.32894697104691;"2017";"10";"2017-10";"2017-10-11";31;23
"2017-10-12";"00:00:00";20.37345;38.257;5.32595771451175;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"01:00:00";20.3543;38.2565;5.32796845797659;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"02:00:00";20.3409;38.25675;5.32697920144144;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"03:00:00";20.32935;38.25715;5.32448994490628;"2017";"10";"2017-10";"2017-10-12";31;23
