Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2007-07-31T00:00:00	50	15	37.90000	16.6700	1974.0	226.2		2533.7	2212.1	5.2	3.4	341.2	340.0
2007-08-07T00:00:00	1	15	37.89000	25.1000	1953.3	239.0		2539.8	2205.0	5.6	3.7	456.7	455.2
2007-08-07T00:00:00	50	15	37.90000	16.1300	1991.0	219.0		2533.3	2222.4	5.1	3.3	349.9	348.7
2007-08-14T00:00:00	1	15	37.97000	23.4500	1954.8	239.4		2543.0	2206.6	5.6	3.7	426.3	424.9
2007-08-14T00:00:00	50	15	37.92000	15.1700	2006.4	213.8		2536.3	2232.9	5.0	3.2	348.6	347.4
2007-08-22T00:00:00	1	15	38.07000	23.4500	1960.8	239.7		2549.8	2212.9	5.6	3.7	429.2	427.8
2007-08-22T00:00:00	50	15	37.86000	15.4500	1998.0	216.3		2533.9	2226.8	5.0	3.2	345.7	344.5
2007-08-28T00:00:00	1	15	38.00000	24.0900	1954.4	240.6		2545.1	2207.4	5.6	3.7	436.1	434.7
2007-08-28T00:00:00	50	15	37.86000	15.3500	2009.2	212.5		2535.6	2234.6	4.9	3.2	354.2	353.0
2007-09-04T00:00:00	1		38.06000					2544.8	2211.3				
2007-09-04T00:00:00	50		37.86000					2531.7	2226.6				
2007-09-18T00:00:00	1	15	38.18000	22.8100	1964.7	239.4		2553.1	2216.4	5.6	3.7	420.8	419.4
2007-09-18T00:00:00	50	15	37.87000	16.5900	1990.1	220.6		2535.8	2223.0	5.1	3.3	354.0	352.8
2007-09-25T00:00:00	1	15	38.17000	22.0300	1957.8	243.8		2557.3	2213.5	5.7	3.7	396.7	395.4
2007-09-25T00:00:00	50	15	37.90000	15.7000	1996.3	216.4		2532.4	2225.2	5.0	3.2	349.1	347.9
